Name|Mr. Mime
Number|122
ExperienceType|1
BaseExperience|161
Type1|Psychic
Type2|Fairy
CatchRate|45
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|6630
EggPokemon|439
IsGenderLess|0
CanBreed|1
Devolution|439
IsMale|50
Ability1|43
Ability2|111
HiddenAbility|101
EggMoves|204,109,252,248,361,95,196,478,102,417,471,298,271,358,244
Machines|223,29,174,92,192,244,237,241,173,63,182,240,203,218,76,87,216,94,247,189,104,8,207,214,9,138,197,156,213,168,7,171,5,25,34,36,38,58,66,68,69,99,85,100,102,115,117,118,130,86,149,164,264,347,269,113,219,280,351,332,259,263,290,285,289,411,412,374,451,409,371,278,416,445,363,447,433,473,477,496,611,612,605,590,148
BaseHP|40
BaseAttack|45
BaseDefense|65
BaseSpAttack|100
BaseSpDefense|120
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|A skilled mime from birth, it gains the ability to create invisible objects as it matures.\Barrier Pokémon\54.5\1.3\0,148,0
Scale|1.12
Move|1,581
Move|1,345
Move|1,501
Move|1,469
Move|1,384
Move|1,385
Move|1,112
Move|1,93
Move|4,383
Move|8,96
Move|11,3
Move|15,102
Move|15,149
Move|18,227
Move|22,113
Move|22,115
Move|25,60
Move|29,164
Move|32,278
Move|36,271
Move|39,94
Move|43,272
Move|46,226
Move|50,219
TradeValue|70
Item|5,2005
