Name|Ariados
Number|168
ExperienceType|0
BaseExperience|137
Type1|Bug
Type2|Poison
CatchRate|90
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|167
IsGenderLess|0
CanBreed|1
Devolution|167
IsMale|50
Ability1|68
Ability2|15
HiddenAbility|97
EggMoves|226,50,527,224,400,60,228,476,324,49,390,41,398
Machines|174,92,237,241,173,63,182,202,203,218,76,216,91,94,104,207,214,188,129,197,156,213,168,32,34,36,38,99,72,102,117,164,263,290,416,445,404,363,398,468,474,496,522,611,590,148,560
BaseHP|70
BaseAttack|90
BaseDefense|70
BaseSpAttack|60
BaseSpDefense|60
BaseSpeed|40
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It spins string not only from its rear but also from its mouth. It's hard to tell which end is which.\Long Leg Pokémon\33.5\1.1\0,148,0
Scale|1.04
Move|1,599
Move|1,565
Move|1,450
Move|1,40
Move|1,81
Move|1,184
Move|1,132
Move|5,184
Move|8,132
Move|12,141
Move|15,101
Move|19,425
Move|23,154
Move|28,389
Move|32,169
Move|37,97
Move|41,42
Move|46,94
Move|50,398
Move|55,440
Move|58,564
TradeValue|25
