Name|Mega Scizor
Number|212
ExperienceType|1
BaseExperience|175
Type1|Bug
Type2|Steel
CatchRate|25
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|6630
EggPokemon|123
IsGenderLess|0
CanBreed|1
Devolution|123
IsMale|50
Ability1|101
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|226,405,68,432,203,400,501,13,179,318,211,113,219
Machines|29,174,92,249,237,241,173,63,182,240,203,218,216,104,207,214,201,129,197,156,213,168,211,210,14,36,38,68,99,102,117,130,164,113,219,280,332,263,290,355,206,374,416,432,445,404,363,369,430,474,496,512,522,590,15,70
BaseHP|70
BaseAttack|150
BaseDefense|140
BaseSpAttack|65
BaseSpDefense|100
BaseSpeed|75
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It swings its eye-patterned pincers up to scare its foes. This makes it look like it has three heads.\Pincer Pokémon\118\1.8\0,148,0
Scale|1.32
Move|1,364
Move|1,418
Move|1,98
Move|1,43
Move|5,116
Move|9,228
Move|13,206
Move|17,97
Move|21,232
Move|25,210
Move|29,163
Move|33,13
Move|37,334
Move|41,404
Move|45,400
Move|49,458
Move|50,442
Move|57,14
Move|61,364
TradeValue|90
