Name|Mega Heracross
Number|214
ExperienceType|3
BaseExperience|175
Type1|Bug
Type2|Fighting
CatchRate|45
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|6630
EggPokemon|214
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|92
Ability2|Nothing
HiddenAbility|Nothing
EggMoves|117,38,175,264,106,224,228,279,350,69,206
Machines|29,174,92,249,237,241,173,63,182,240,203,218,89,216,91,104,207,214,197,156,213,168,210,5,14,32,34,36,38,66,68,69,99,102,117,157,164,264,339,280,317,332,263,290,411,206,374,421,416,444,445,363,474,479,496,514,522,523,526,590,15,70
BaseHP|80
BaseAttack|185
BaseDefense|115
BaseSpAttack|40
BaseSpDefense|105
BaseSpeed|75
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|This powerful Pokémon thrusts its prized horn under its enemies' bellies, then lifts and throws them.\Single Horn Pokémon\54\1.5\0,148,0
Scale|1.2
Move|1,292
Move|1,331
Move|1,400
Move|1,33
Move|1,43
Move|1,30
Move|1,203
Move|7,31
Move|10,332
Move|16,498
Move|19,68
Move|25,280
Move|28,36
Move|31,42
Move|34,370
Move|37,364
Move|43,179
Move|46,224
TradeValue|40
