Name|Corsola
Number|222
ExperienceType|0
BaseExperience|133
Type1|Water
Type2|Rock
CatchRate|60
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water3
BaseEggSteps|5355
EggPokemon|222
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|25
Ability1|55
Ability2|30
HiddenAbility|144
EggMoves|133,392,112,117,293,109,174,457,333,275,54,267,103,352,157,219
Machines|29,174,205,92,249,237,241,173,59,63,182,240,203,218,89,216,91,94,247,189,104,207,214,201,111,197,156,213,34,36,61,55,58,99,102,115,117,120,153,157,164,352,347,258,113,219,317,263,290,362,416,397,444,446,445,363,496,503,523,267,590,57,70,250
BaseHP|55
BaseAttack|55
BaseDefense|85
BaseSpAttack|65
BaseSpDefense|85
BaseSpeed|35
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It continuously sheds and grows. The tip of its head is prized as a treasure because of its beauty.\Coral Pokémon\5\0.6\0,148,0
Scale|0.84
Move|1,33
Move|4,106
Move|8,145
Move|10,105
Move|13,287
Move|17,61
Move|20,246
Move|23,381
Move|27,131
Move|29,334
Move|31,350
Move|35,203
Move|38,392
Move|41,408
Move|45,243
Move|47,414
Move|50,175
TradeValue|30
Item|5,125
