Name|Larvitar
Number|246
ExperienceType|3
BaseExperience|60
Type1|Rock
Type2|Ground
CatchRate|45
BaseFriendship|35
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|10455
EggPokemon|246
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|62
Ability2|Nothing
HiddenAbility|8
EggMoves|246,372,174,349,116,334,442,231,200,228,446,23
Machines|29,174,92,249,237,241,173,63,182,203,218,89,216,91,189,104,207,214,201,197,156,213,34,36,99,102,117,130,157,164,269,280,317,259,263,290,371,416,397,444,446,445,399,363,479,496,514,523,555,612,590
BaseHP|50
BaseAttack|64
BaseDefense|50
BaseSpAttack|45
BaseSpDefense|50
BaseSpeed|41
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It feeds on soil. After it has eaten a large mountain, it falls asleep so it can grow.\Rock Skin Pokémon\72\0.6\0,148,0
Scale|0.84
Move|1,44
Move|1,43
Move|5,201
Move|10,103
Move|14,498
Move|19,157
Move|23,184
Move|28,37
Move|32,399
Move|37,371
Move|41,242
Move|46,89
Move|50,444
Move|55,63
TradeValue|40
EvolutionCondition|247,level,30,level
