Name|Raichu
Number|26
ExperienceType|1
BaseExperience|214
Type1|Electric
Type2|Psychic
CatchRate|75
BaseFriendship|70
EggGroup1|Field
EggGroup2|Fairy
BaseEggSteps|2805
EggPokemon|172
Devolution|25
IsGenderLess|0
IsMale|50
Ability1|207
Ability2|Nothing
HiddenAbility|31
EggMoves|516,117,268,574,3,227,203,252,175,381,217,179,9,321,273
Machines|223,29,174,205,92,192,249,237,173,63,182,240,203,218,231,87,216,91,189,104,207,214,129,111,9,197,156,213,168,5,34,36,38,6,66,68,69,99,85,102,117,130,86,164,264,113,280,351,263,290,411,374,451,416,445,363,447,496,497,521,528,590,70,148
BaseHP|60
BaseAttack|85
BaseDefense|50
BaseSpAttack|95
BaseSpDefense|85
BaseSpeed|110
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|3
CanFly|0
CanSwim|0
Pokedex|It uses psychokinesis to control electricity. It hops aboard its own tail, using psychic power to lift the tail and move about while riding it.\Mouse Pokémon\21\0.7\0,148,0
Scale|0.92
Move|35,94
Move|1,683
Move|1,39
Move|1,84
Move|1,85
Move|1,98
Item|50,2006
TradeValue|40
