Name|Corphish
Number|341
ExperienceType|1
BaseExperience|62
Type1|Water
Type2|
CatchRate|205
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water3
BaseEggSteps|4080
EggPokemon|341
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|52
Ability2|75
HiddenAbility|91
EggMoves|246,453,34,498,38,349,283,282,232,300,276,415,376
Machines|174,92,249,237,173,59,63,196,182,240,203,218,216,91,189,104,207,214,188,197,156,213,210,14,34,36,61,55,58,68,99,102,117,130,157,164,352,258,269,280,317,332,263,290,206,374,371,416,445,404,363,468,496,503,590,15,57,70,250,127,291
BaseHP|43
BaseAttack|80
BaseDefense|65
BaseSpAttack|50
BaseSpDefense|35
BaseSpeed|35
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It was originally a Pokémon from afar that escaped to the wild. It can adapt to the dirtiest river.\Ruffian Pokémon\11.5\0.6\0,148,0
Scale|0.84
Move|1,145
Move|7,106
Move|10,11
Move|13,43
Move|20,61
Move|23,182
Move|26,282
Move|32,269
Move|35,400
Move|38,152
Move|44,14
Move|47,242
Move|53,12
TradeValue|30
EvolutionCondition|342,Level,30,Level
