Name|Phione
Number|489
ExperienceType|3
BaseExperience|216
Type1|Water
Type2|
CatchRate|30
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Fairy
BaseEggSteps|10455
EggPokemon|489
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|93
Ability2|Nothing
HiddenAbility|Nothing
Machines|174,92,244,237,173,59,63,196,182,240,203,218,216,189,104,207,214,129,197,156,213,61,55,58,99,100,102,117,164,352,263,290,362,374,416,445,363,496,503,605,590,57,250,127,291
BaseHP|80
BaseAttack|80
BaseDefense|80
BaseSpAttack|80
BaseSpDefense|80
BaseSpeed|80
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When the water warms flotation sac on their heads and drift languidly on the sea in packs.\Sea Drifter Pokémon\3.1\0.4\0,148,0
Scale|0.7
Move|1,145
Move|1,346
Move|9,204
Move|16,48
Move|24,61
Move|31,151
Move|39,250
Move|46,352
Move|54,392
Move|61,291
Move|69,240
TradeValue|90
