Name|Sandile
Number|551
ExperienceType|2
BaseExperience|58
Type1|Ground
Type2|Dark
CatchRate|180
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|551
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|22
Ability2|153
HiddenAbility|83
EggMoves|251,68,38,424,116,212,228,431,422,253
Machines|174,205,46,92,237,173,63,182,203,218,231,89,216,91,189,104,207,214,188,201,111,197,156,213,168,210,36,99,102,117,157,164,269,317,259,263,290,289,373,421,371,416,444,446,445,399,363,468,496,510,514,523,555,590,15
BaseHP|50
BaseAttack|72
BaseDefense|35
BaseSpAttack|35
BaseSpDefense|35
BaseSpeed|65
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They live hidden under hot desert sands in order to keep their body temperature from dropping.\Desert Croc Pokémon\15.2\0.7\0,148,0
Scale|0.88
Move|1,43
Move|1,99
Move|4,44
Move|10,259
Move|13,328
Move|16,372
Move|19,189
Move|22,373
Move|25,207
Move|28,242
Move|31,91
Move|34,184
Move|37,492
Move|40,201
Move|43,89
Move|46,37
TradeValue|25
EvolutionCondition|552,level,29,level
