Name|Seel
Number|86
ExperienceType|1
BaseExperience|65
Type1|Water
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|86
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|47
Ability2|93
HiddenAbility|115
EggMoves|562,50,227,252,494,32,333,231,122,195,324,21,214,255,254,256,352,64
Machines|29,174,92,237,173,59,63,196,182,240,203,218,216,104,207,214,197,156,213,32,34,36,61,55,58,6,99,102,117,130,164,352,263,290,362,416,445,363,496,590,57,250,127,291
BaseHP|65
BaseAttack|45
BaseDefense|55
BaseSpAttack|45
BaseSpDefense|70
BaseSpeed|45
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Although it can't walk well on land, it is a graceful swimmer. It especially loves being in frigid seas.\Sea Lion Pokémon\90\1.1\0,148,0
Scale|1.04
Move|1,29
Move|3,45
Move|7,346
Move|11,196
Move|13,227
Move|17,420
Move|21,156
Move|23,392
Move|27,62
Move|31,453
Move|33,362
Move|37,36
Move|41,291
Move|43,401
Move|47,58
Move|51,219
Move|53,258
TradeValue|20
EvolutionCondition|87,Level,34,Level
