Name|Jirachi
Number|385
ExperienceType|3
BaseExperience|270
Type1|Steel
Type2|Psychic
CatchRate|3
BaseFriendship|100
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|385
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|32
Ability2|Nothing
HiddenAbility|Nothing
Machines|223,174,92,192,244,237,241,230,173,63,196,182,240,203,218,87,216,94,247,189,104,8,207,214,201,129,111,9,138,197,156,213,7,171,34,36,38,6,99,85,100,102,115,117,118,86,149,161,164,352,347,113,351,332,263,290,285,412,374,451,409,278,416,446,445,363,447,369,430,433,473,477,496,612,605,590,148
BaseHP|100
BaseAttack|100
BaseDefense|100
BaseSpAttack|100
BaseSpDefense|100
BaseSpeed|100
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Generations have believed that any wish written on a note on its head will come true when it awakens.\Wish Pokémon\1.1\0.3\0,148,0
Scale|0.7
Move|1,273
Move|1,93
Move|5,156
Move|10,129
Move|15,270
Move|20,94
Move|25,287
Move|30,156
Move|35,428
Move|40,38
Move|45,356
Move|50,361
Move|55,248
Move|60,322
Move|65,387
Move|70,353
TradeValue|120
