Name|Chimchar
Number|390
ExperienceType|2
BaseExperience|62
Type1|Fire
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|HumanLike
BaseEggSteps|5355
EggPokemon|390
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|66
Ability2|Nothing
HiddenAbility|89
EggMoves|274,299,68,24,227,252,7,116,264,257,270,501,66,9
Machines|174,205,92,249,237,241,173,63,182,203,218,231,216,189,104,207,214,126,129,111,9,197,156,213,5,25,34,36,6,66,68,69,99,102,117,130,164,264,263,290,416,446,445,363,468,488,490,496,510,612,590,15,70,431
BaseHP|44
BaseAttack|58
BaseDefense|44
BaseSpAttack|58
BaseSpDefense|44
BaseSpeed|61
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|The gas made in its belly burns from its rear end. The fire burns weakly when it feels sick.\Chimp Pokémon\6.2\0.5\0,148,0
Scale|0.7
Move|1,10
Move|1,43
Move|7,52
Move|9,269
Move|15,154
Move|17,172
Move|23,417
Move|25,259
Move|31,263
Move|33,83
Move|39,512
Move|41,303
Move|47,53
TradeValue|50
EvolutionCondition|391,level,14,level
