Name|Hippopotas
Number|449
ExperienceType|3
BaseExperience|66
Type1|Ground
Type2|
CatchRate|140
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|7905
EggPokemon|449
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|45
Ability2|Nothing
HiddenAbility|159
EggMoves|34,174,279,328,303,214,255,254,256,18
Machines|174,46,92,249,237,241,173,63,182,203,218,231,89,216,91,189,104,207,214,201,197,156,213,25,34,36,38,99,90,102,117,120,157,164,352,317,263,290,416,446,445,363,496,523,590,70,560
BaseHP|68
BaseAttack|72
BaseDefense|78
BaseSpAttack|38
BaseSpDefense|42
BaseSpeed|32
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It shrouds itself in sand to ward off germs. It travels easily through the sands of the desert.\Hippo Pokémon\49.5\0.8\0,148,0
Scale|0.92
Move|1,33
Move|1,28
Move|7,44
Move|13,281
Move|19,36
Move|19,91
Move|25,328
Move|31,242
Move|37,89
Move|44,38
Move|50,90
TradeValue|35
EvolutionCondition|450,level,34,level
