Name|Emolga
Number|587
ExperienceType|1
BaseExperience|150
Type1|Electric
Type2|Flying
CatchRate|200
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|587
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|9
Ability2|Nothing
HiddenAbility|78
EggMoves|403,310,226,204,343,569,231,355,351,321
Machines|174,92,192,237,173,63,182,240,203,218,231,87,216,104,207,214,197,156,213,13,18,36,6,99,85,102,117,130,86,164,269,113,351,332,263,290,355,374,451,416,432,445,363,369,496,512,521,528,590,148
BaseHP|55
BaseAttack|75
BaseDefense|60
BaseSpAttack|75
BaseSpDefense|60
BaseSpeed|103
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It glides on its outstretched membrane while shocking foes with the electricty stored in the pounches on its cheeks.\Sky Squirrel Pokémon\5\0.4\0,148,0
Scale|0.7
Move|1,84
Move|4,98
Move|7,39
Move|10,268
Move|13,209
Move|15,609
Move|16,228
Move|19,104
Move|22,351
Move|26,486
Move|30,512
Move|34,113
Move|38,227
Move|42,521
Move|46,97
Move|50,435
TradeValue|35
Item|100,2001
