Name|Braixen
Number|654
ExperienceType|2
BaseExperience|143
Type1|Fire
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|653
IsGenderLess|0
CanBreed|1
Devolution|653
IsMale|87.5
Ability1|66
Ability2|Nothing
HiddenAbility|170
EggMoves|257,95,277,273
Machines|174,92,244,237,241,173,63,182,203,218,76,216,94,104,207,214,126,129,138,197,156,213,168,7,210,5,34,36,66,68,69,99,102,117,130,164,264,113,219,53,263,290,315,261,373,416,445,363,447,473,488,496,497,510,612,590,15
BaseHP|59
BaseAttack|59
BaseDefense|58
BaseSpAttack|90
BaseSpDefense|70
BaseSpeed|73
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When the twig is plucked from its tail, friction sets the twig alight. The flame is used to send signals to its allies.\Fox Pokémon\14.5\1.0\0,148,0
Scale|1.0
Move|1,10
Move|1,39
Move|5,52
Move|11,336
Move|14,488
Move|18,60
Move|22,83
Move|27,381
Move|30,113
Move|34,473
Move|41,53
Move|45,261
Move|48,94
Move|51,241
Move|53,478
Move|55,126
TradeValue|60
EvolutionCondition|655,level,36,level
