Name|Bergmite
Number|712
ExperienceType|1
BaseExperience|61
Type1|Ice
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|5355
EggPokemon|712
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|20
Ability2|115
HiddenAbility|5
EggMoves|112,243,54,105
Machines|174,205,92,249,237,173,59,63,196,182,203,218,216,189,104,8,207,214,111,197,156,213,25,34,36,58,99,102,117,120,130,157,164,352,258,219,317,263,290,416,397,444,419,360,445,363,430,496,524,526,590,57,70,148,560
BaseHP|55
BaseAttack|69
BaseDefense|85
BaseSpAttack|32
BaseSpDefense|35
BaseSpeed|28
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It blocks opponents' attacks with the ice that shields its body. It uses cold air to repair any cracks with new ice.\Ice Chunk Pokémon\99.5\1.0\0,148,0
Scale|1.0
Move|1,33
Move|1,44
Move|1,106
Move|5,181
Move|10,196
Move|15,36
Move|20,159
Move|22,174
Move|26,423
Move|30,301
Move|35,229
Move|39,419
Move|43,59
Move|47,105
Move|49,38
TradeValue|30
EvolutionCondition|713,level,37,level
