Name|Jynx
Number|124
ExperienceType|1
BaseExperience|159
Type1|Ice
Type2|Psychic
CatchRate|45
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|6630
EggPokemon|238
IsGenderLess|0
CanBreed|1
Devolution|238
IsMale|0
Ability1|12
Ability2|108
HiddenAbility|87
EggMoves|445,252,8,96,357,417,358,273,244,142
Machines|223,29,174,92,244,237,230,173,59,63,196,182,240,203,218,216,94,247,189,104,8,207,214,138,197,156,213,168,171,5,34,36,38,61,55,58,66,68,69,99,100,102,115,117,118,130,149,164,264,352,347,258,269,113,280,259,263,290,285,411,412,374,409,371,278,416,419,445,363,447,433,473,477,496,497,524,612,590,148
BaseHP|65
BaseAttack|50
BaseDefense|35
BaseSpAttack|115
BaseSpDefense|95
BaseSpeed|95
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It rocks its body rhythmically. It appears to alter the rhythm depending on how it is feeling.\Human Shape Pokémon\40.6\1.4\0,148,0
Scale|1.16
Move|1,577
Move|1,195
Move|1,1
Move|1,122
Move|1,142
Move|1,181
Move|5,122
Move|8,142
Move|11,181
Move|15,3
Move|18,8
Move|21,531
Move|25,212
Move|28,313
Move|33,358
Move|39,419
Move|44,34
Move|49,378
Move|55,195
Move|60,59
TradeValue|80
Item|100,2004
