Name|Omanyte
Number|138
ExperienceType|1
BaseExperience|71
Type1|Rock
Type2|Water
CatchRate|45
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Water3
BaseEggSteps|7905
EggPokemon|138
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|33
Ability2|75
HiddenAbility|133
EggMoves|62,117,61,114,282,330,513,21,191,48,390,352,250,378,157
Machines|29,174,205,92,249,237,173,59,63,196,182,240,203,218,216,104,207,214,197,156,213,168,34,36,61,55,58,99,102,117,157,164,352,317,263,290,362,416,397,360,446,445,363,479,496,503,590,57,250,127,291
BaseHP|35
BaseAttack|40
BaseDefense|100
BaseSpAttack|90
BaseSpDefense|55
BaseSpeed|35
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Revived from an ancient fossil, this Pokémon uses air stored in its shell to sink and rise in water.\Spiral Pokémon\7.5\0.4\0,148,0
Scale|0.7
Move|1,132
Move|1,110
Move|7,44
Move|10,55
Move|16,205
Move|19,43
Move|25,341
Move|28,362
Move|34,182
Move|37,246
Move|43,321
Move|46,350
Move|50,504
Move|55,56
TradeValue|70
EvolutionCondition|139,Level,40,Level
