Name|Aerodactyl
Number|142
ExperienceType|3
BaseExperience|180
Type1|Rock
Type2|Flying
CatchRate|45
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|9180
EggPokemon|142
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|69
Ability2|46
HiddenAbility|127
EggMoves|372,174,225,193,228,355,211,366,18,469
Machines|29,174,46,92,249,237,241,173,63,182,203,218,231,225,89,216,104,207,214,201,126,129,197,156,213,168,211,13,18,36,38,99,82,102,117,143,157,164,337,269,53,317,332,259,263,290,355,406,371,416,397,432,444,446,445,363,468,479,496,507,510,523,590,19,70
BaseHP|80
BaseAttack|105
BaseDefense|65
BaseSpAttack|60
BaseSpDefense|75
BaseSpeed|130
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|1
CanSwim|0
Pokedex|A vicious Pokémon from the distant past, it appears to have flown by spreading its wings and gliding.\Fossil Pokémon\59\1.8\0,148,0
Scale|1.32
Move|1,442
Move|1,423
Move|1,424
Move|1,422
Move|1,17
Move|1,48
Move|1,44
Move|1,184
Move|9,46
Move|17,97
Move|25,246
Move|33,242
Move|41,36
Move|49,507
Move|57,442
Move|65,63
Move|73,157
Move|81,416
TradeValue|80
