Name|Ledian
Number|166
ExperienceType|0
BaseExperience|137
Type1|Bug
Type2|Flying
CatchRate|90
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|165
IsGenderLess|0
CanBreed|1
Devolution|165
IsMale|50
Ability1|68
Ability2|48
HiddenAbility|89
EggMoves|117,450,405,146,409,227,264,282,60,103,318,366,113
Machines|223,29,174,205,92,249,237,241,230,173,63,182,202,203,218,76,216,91,104,8,207,214,129,9,197,156,213,168,5,13,14,18,36,99,72,102,115,117,164,264,113,219,280,332,263,290,355,411,374,409,318,416,445,363,369,496,512,522,611,612,590,70,148
BaseHP|55
BaseAttack|35
BaseDefense|50
BaseSpAttack|55
BaseSpDefense|110
BaseSpeed|85
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|When the stars flicker in the night sky, it flutters about, scattering a glowing powder.\Five Star Pokémon\35.6\1.4\0,148,0
Scale|1.16
Move|1,33
Move|1,48
Move|1,4
Move|6,48
Move|9,4
Move|14,113
Move|14,115
Move|14,219
Move|17,183
Move|24,226
Move|29,318
Move|36,97
Move|41,129
Move|48,38
Move|53,405
TradeValue|25
