Name|Aron
Number|304
ExperienceType|3
BaseExperience|66
Type1|Steel
Type2|Rock
CatchRate|180
BaseFriendship|35
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|9180
EggPokemon|304
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|5
Ability2|69
HiddenAbility|134
EggMoves|34,174,407,283,457,442,179,103,265,446,23,276
Machines|29,174,205,46,92,249,237,241,173,63,182,203,218,231,89,216,91,189,104,207,214,201,111,197,156,213,210,34,36,38,99,82,102,117,130,157,164,352,351,317,332,263,290,421,416,397,446,445,363,468,496,523,590,15,70,560
BaseHP|50
BaseAttack|70
BaseDefense|100
BaseSpAttack|40
BaseSpDefense|40
BaseSpeed|30
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When it evolves carapace that covered its whole body and develops a new one.\Iron Armor Pokémon\60\0.4\0,148,0
Scale|0.7
Move|1,33
Move|1,106
Move|4,189
Move|8,29
Move|11,232
Move|15,334
Move|18,46
Move|22,36
Move|25,442
Move|29,182
Move|32,319
Move|36,231
Move|39,475
Move|43,484
Move|46,38
Move|50,368
TradeValue|20
Item|5,125
EvolutionCondition|305,Level,32,Level
