Name|Zubat
Number|41
ExperienceType|1
BaseExperience|49
Type1|Poison
Type2|Flying
CatchRate|255
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|41
IsGenderLess|0
IsMale|50
Ability1|39
Ability2|Nothing
HiddenAbility|151
EggMoves|413,174,432,185,202,16,95,417,228,98,599,18,428,211
Machines|174,92,237,241,173,63,182,202,203,218,216,247,104,207,214,188,129,197,156,213,168,211,13,18,36,99,72,102,117,164,269,332,259,263,290,289,355,371,416,432,445,363,365,369,474,496,512,590,19
BaseHP|40
BaseAttack|45
BaseDefense|35
BaseSpAttack|30
BaseSpDefense|40
BaseSpeed|55
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|1
CanSwim|0
Pokedex|While flying, it constantly emits ultrasonic waves from its mouth to check its surroundings.\Bat Pokémon\7.5\0.8\0,148,0
Scale|0.92
Move|1,141
Move|4,48
Move|8,310
Move|12,44
Move|15,17
Move|19,109
Move|23,129
Move|26,314
Move|30,512
Move|34,212
Move|37,305
Move|41,114
Move|45,403
EvolutionCondition|42,Level,22,Level
TradeValue|5
