Name|Bastiodon
Number|411
ExperienceType|1
BaseExperience|173
Type1|Rock
Type2|Steel
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|7905
EggPokemon|410
IsGenderLess|0
CanBreed|1
Devolution|410
IsMale|87.5
Ability1|5
Ability2|Nothing
HiddenAbility|43
EggMoves|34,68,174,38,90,116,470,29,350,184,103,446,469
Machines|174,46,92,249,237,241,173,59,63,182,203,218,231,89,216,91,189,104,207,214,197,156,213,25,34,36,38,58,99,85,90,102,117,120,130,157,164,269,351,53,317,259,263,290,416,397,444,419,446,445,363,430,479,496,590,70,560
BaseHP|60
BaseAttack|52
BaseDefense|168
BaseSpAttack|47
BaseSpDefense|138
BaseSpeed|30
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When attacked Their rock-hard faces serve to protect them from the attacks.\Shield Pokémon\149.5\1.3\0,148,0
Scale|1.12
Move|1,33
Move|1,182
Move|1,269
Move|1,319
Move|6,269
Move|10,319
Move|15,36
Move|19,334
Move|24,207
Move|28,246
Move|30,335
Move|36,203
Move|43,368
Move|51,442
Move|58,484
TradeValue|50
