Name|Simipour
Number|516
ExperienceType|1
BaseExperience|174
Type1|Water
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|515
IsGenderLess|0
CanBreed|1
Devolution|515
IsMale|87.5
Ability1|82
Ability2|Nothing
HiddenAbility|67
EggMoves|392,401,310,343,574,56,67,300,417,272,321
Machines|223,174,205,92,249,237,173,59,63,196,182,240,203,218,231,216,91,189,104,8,207,214,111,197,156,213,168,171,5,25,34,36,38,61,55,58,6,66,68,69,99,102,117,118,130,157,164,264,352,258,269,280,317,259,263,290,411,362,374,421,371,278,416,445,363,447,468,490,496,503,512,526,612,590,57,250,127,431,291
BaseHP|75
BaseAttack|98
BaseDefense|63
BaseSpAttack|98
BaseSpDefense|63
BaseSpeed|101
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It prefers places with clean water. When its tuft runs low, it replenishes it by siphoning up water with its tail.\Geyser Pokémon\29\1\0,148,0
Scale|1
Move|1,43
Move|1,122
Move|1,154
Move|1,503
TradeValue|40
Item|5,2038
Item|50,2006
