Name|Krabby
Number|98
ExperienceType|1
BaseExperience|65
Type1|Water
Type2|
CatchRate|225
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|5355
EggPokemon|98
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|52
Ability2|75
HiddenAbility|125
EggMoves|97,502,133,246,117,498,203,175,114,282,21,321,91,14
Machines|29,174,92,249,237,173,59,63,196,182,240,203,218,216,91,189,104,207,214,197,156,213,168,210,14,36,61,55,58,99,102,117,157,164,337,352,258,280,317,263,290,206,362,374,416,445,404,363,468,496,503,590,15,57,70,250,291
BaseHP|30
BaseAttack|105
BaseDefense|90
BaseSpAttack|25
BaseSpDefense|25
BaseSpeed|50
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If it senses danger approaching it cloaks itself with bubbles from its mouth so it will look bigger.\River Crab Pokémon\6.5\0.4\0,148,0
Scale|0.7
Move|1,300
Move|1,145
Move|5,11
Move|9,43
Move|11,106
Move|15,61
Move|19,341
Move|21,232
Move|25,23
Move|29,182
Move|31,12
Move|35,21
Move|39,362
Move|41,152
Move|45,175
TradeValue|20
EvolutionCondition|99,Level,28,Level
