Name|Flareon
Number|136
ExperienceType|1
BaseExperience|184
Type1|Fire
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|9180
EggPokemon|133
IsGenderLess|0
CanBreed|1
Devolution|133
IsMale|87.5
Ability1|18
Ability2|Nothing
HiddenAbility|62
EggMoves|445,204,343,174,197,203,313,175,363,500,485,321,273,281
Machines|29,174,46,92,192,249,237,241,173,63,182,203,218,231,216,91,247,189,104,207,214,126,129,197,156,213,25,34,36,38,99,102,117,130,164,53,263,290,315,261,416,445,363,488,496,497,510,514,526,590,70,560
BaseHP|65
BaseAttack|130
BaseDefense|60
BaseSpAttack|95
BaseSpDefense|110
BaseSpeed|65
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It stores some of the air it inhales in its internal flame pouch, which heats it to over 3,000 degrees Fahrenheit.\Flame Pokémon\25\0.9\0,148,0
Scale|0.96
Move|1,270
Move|1,33
Move|1,39
Move|5,28
Move|9,52
Move|13,98
Move|17,44
Move|20,424
Move|25,83
Move|29,184
Move|33,123
Move|37,436
Move|41,387
Move|45,394
TradeValue|50
