Name|Sneasel
Number|215
ExperienceType|2
BaseExperience|86
Type1|Dark
Type2|Ice
CatchRate|60
BaseFriendship|35
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|215
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|39
Ability2|51
HiddenAbility|124
EggMoves|223,29,174,92,249,244,237,241,173,59,63,196,182,240,203,218,231,216,91,247,189,104,8,207,214,129,111,138,197,156,213,168,210,171,14,36,58,6,68,99,102,115,117,130,164,264,347,258,269,280,332,259,263,290,289,206,374,373,421,371,416,419,445,399,404,363,398,468,490,496,514,555,612,590,15,57,70,250
Machines|14,15,57,58,59,70,91,92,104,115,138,156,164,168,182,206,207,213,216,218,237,240,241,244,247,249,258,259,263,269,280,332,347,371,373,374,398,404,421,468,490,496,514,555,210,29,189,8,250
BaseHP|55
BaseAttack|95
BaseDefense|55
BaseSpAttack|35
BaseSpDefense|75
BaseSpeed|115
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|Its paws conceal sharp claws. If attacked, it suddenly extends the claws and startles its enemy.\Sharp Claw Pokémon\28\0.9\0,148,0
Scale|0.96
Move|1,10
Move|1,43
Move|1,269
Move|8,98
Move|10,185
Move|14,196
Move|16,154
Move|20,97
Move|22,232
Move|25,468
Move|28,251
Move|32,103
Move|35,163
Move|40,289
Move|44,386
Move|47,420
TradeValue|40
Item|50,176
Item|5,73
EvolutionCondition|461,holditem,184,Level
EvolutionCondition|461,daytime,0,Level
