Name|Ho-oh
Number|250
ExperienceType|3
BaseExperience|306
Type1|Fire
Type2|Flying
CatchRate|3
BaseFriendship|0
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|250
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|46
Ability2|Nothing
HiddenAbility|144
Machines|174,46,92,192,249,244,237,241,173,63,182,203,218,76,225,87,89,216,189,104,207,214,126,129,197,156,213,211,171,13,18,36,38,99,85,102,117,143,86,161,164,351,53,332,263,290,315,355,416,432,445,363,365,477,488,496,507,510,590,19,70,148,560
BaseHP|106
BaseAttack|130
BaseDefense|90
BaseSpAttack|110
BaseSpDefense|154
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|3
FPSpeed|0
CanFly|1
CanSwim|0
Pokedex|Legends claim this Pokémon flies the world's skies continuously on its magnificent, seven-colored wings.\Rainbow Pokémon\199\3.8\0,148,0
Scale|2
Move|1,18
Move|1,311
Move|9,16
Move|15,413
Move|23,326
Move|29,241
Move|37,126
Move|43,221
Move|50,386
Move|57,246
Move|65,219
Move|71,105
Move|79,248
Move|85,363
Move|93,347
Move|99,143
TradeValue|100
Item|100,156
