Name|Nidoqueen
Number|31
ExperienceType|2
BaseExperience|223
Type1|Poison
Type2|Ground
CatchRate|45
BaseFriendship|70
EggGroup1|None
EggGroup2|None
BaseEggSteps|5355
EggPokemon|29
IsGenderLess|0
IsMale|0
Ability1|38
Ability2|79
HiddenAbility|125
EggMoves|251,130,599,204,68,50,116,228,48,36,498,203,231,342
Machines|223,29,174,205,46,92,249,237,241,173,59,63,196,182,240,203,218,231,87,89,216,91,247,189,104,8,207,214,188,201,126,111,9,197,156,213,168,7,210,5,32,34,36,38,61,55,58,6,66,68,69,99,85,90,102,117,130,157,164,264,337,352,269,280,351,53,317,332,259,263,290,411,374,406,421,416,444,419,446,445,363,398,468,474,479,482,496,497,510,511,523,525,612,590,15,57,70,250,431,560
BaseHP|90
BaseAttack|92
BaseDefense|87
BaseSpAttack|75
BaseSpDefense|85
BaseSpeed|76
FPHP|3
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its body is covered with needle-like scales. It never shows signs of shrinking from any attack.\Drill Pokémon\60\1.3\0,148,0
Scale|1.12
Move|1,10
Move|1,24
Move|1,39
Move|1,40
Move|1,276
Move|23,498
Move|35,34
Move|43,414
Move|58,276
TradeValue|50
