Name|Spoink
Number|325
ExperienceType|0
BaseExperience|66
Type1|Psychic
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|325
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|47
Ability2|20
HiddenAbility|82
EggMoves|133,203,326,248,381,243,493,285,271,18,428,164
Machines|174,92,244,237,241,173,63,196,182,240,203,218,231,216,94,247,104,207,214,129,138,197,156,213,168,34,36,99,102,115,117,86,149,164,347,269,113,351,259,263,290,285,289,451,371,278,416,445,363,447,433,473,477,496,590,148
BaseHP|60
BaseAttack|25
BaseDefense|35
BaseSpAttack|70
BaseSpDefense|80
BaseSpeed|60
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It bounces around on its tail to keep its heart pumping. It carries a pearl from CLAMPERL on its head.\Bounce Pokémon\30.6\0.7\0,148,0
Scale|0.88
Move|1,150
Move|7,149
Move|10,316
Move|14,60
Move|15,244
Move|18,109
Move|21,277
Move|26,428
Move|29,156
Move|29,173
Move|33,408
Move|38,473
Move|40,371
Move|44,94
Move|50,340
TradeValue|25
Item|50,2007
EvolutionCondition|326,level,32,level
