Name|Toxicroak
Number|454
ExperienceType|1
BaseExperience|172
Type1|Poison
Type2|Fighting
CatchRate|75
BaseFriendship|70
EggGroup1|HumanLike
EggGroup2|None
BaseEggSteps|5355
EggPokemon|453
IsGenderLess|0
CanBreed|1
IsMale|50
Ability1|107
Ability2|87
HiddenAbility|143
EggMoves|367,418,68,238,409,223,252,364,29,382,96,501,265,410,358
Machines|14,15,63,70,89,91,92,104,156,157,164,168,182,188,207,213,216,218,237,240,241,247,249,259,263,269,280,317,339,371,373,374,398,404,411,416,444,474,482,490,496,514,523,526
BaseHP|83
BaseAttack|106
BaseDefense|65
BaseSpAttack|86
BaseSpDefense|65
BaseSpeed|85
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Swaying and dodging the attacks of its foes, it weaves its flexible body in close, then lunges out with its poisonous claws.\Toxic Mouth Pokémon\44.4\1.3\0,148,0
Scale|1.12
Move|1,40
Move|8,40
Move|17,185
Move|54,188
Move|1,189
Move|3,189
Move|24,207
Move|15,228
Move|62,260
Move|10,269
Move|22,279
Move|1,310
Move|31,389
Move|49,398
Move|41,417
Move|29,426
Move|36,474
TradeValue|55
Item|5,182
