Name|Dialga
Number|483
ExperienceType|3
BaseExperience|306
Type1|Steel
Type2|Dragon
CatchRate|30
BaseFriendship|0
EggGroup1|None
EggGroup2|None
BaseEggSteps|30855
EggPokemon|483
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0.0
Ability1|46
Ability2|Nothing
HiddenAbility|140
Machines|174,46,92,192,249,244,237,241,173,59,63,182,240,203,218,231,225,87,89,216,189,104,207,214,201,126,129,197,156,213,210,25,32,34,36,38,58,99,82,85,90,102,117,130,86,157,161,164,337,339,280,351,53,317,332,263,290,315,406,421,416,444,446,445,363,430,433,468,496,497,510,523,525,590,15,70,148,560
TutorMoves|434
BaseHP|100
BaseAttack|120
BaseDefense|120
BaseSpAttack|150
BaseSpDefense|100
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|This Pokémon completely controls the flow of time. It uses its power to travel at will through the past and future.\Temporal Pokémon\683\5.4\0,148,0
Scale|2
Move|1,225
Move|1,184
Move|6,232
Move|10,246
Move|15,163
Move|19,408
Move|24,368
Move|28,337
Move|33,414
Move|37,396
Move|42,231
Move|46,459
Move|50,430
TradeValue|100
