Name|Charmeleon
Number|5
ExperienceType|2
BaseExperience|142
Type1|Fire
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|5355
EggPokemon|4
IsGenderLess|0
IsMale|87.5
Ability1|66
Ability2|Nothing
HiddenAbility|94
EggMoves|314,246,187,44,68,242,349,406,407,394,264,232,200,14,251,157
Machines|223,29,174,46,92,249,237,241,173,63,182,203,218,231,225,216,91,189,104,207,214,126,129,111,9,197,156,213,7,210,5,14,25,34,36,66,68,69,99,82,102,117,130,157,164,264,337,280,53,317,332,263,290,315,374,261,421,416,445,363,468,488,496,497,510,612,590,15,70
BaseHP|58
BaseAttack|64
BaseDefense|58
BaseSpAttack|80
BaseSpDefense|65
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|It is very hotheaded by nature so it constantly seeks opponents. It calms down only when it wins.\Flame Pokémon\19\1.1\0,148,0
Scale|1.04
Move|1,45
Move|1,52
Move|1,289
Move|7,52
Move|10,108
Move|17,82
Move|21,184
Move|28,424
Move|32,481
Move|39,163
Move|43,53
Move|50,83
Move|54,517
EvolutionCondition|6,Level,36,Level
TradeValue|60
