Name|Arcanine
Number|59
ExperienceType|3
BaseExperience|194
Type1|Fire
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|58
IsGenderLess|0
IsMale|75
Ability1|22
Ability2|18
HiddenAbility|154
EggMoves|34,370,343,242,38,24,83,394,257,336,231,234,37,219
Machines|29,174,46,92,249,237,241,173,63,182,203,218,231,225,216,91,104,207,214,126,129,197,156,213,168,25,34,36,38,99,82,100,102,117,130,164,219,53,332,263,290,315,406,261,416,445,363,488,496,510,514,523,528,555,590,70,431,560
BaseHP|90
BaseAttack|110
BaseDefense|80
BaseSpAttack|100
BaseSpDefense|80
BaseSpeed|95
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|This legendary Chinese Pokémon is considered magnificent. Many people are enchanted by its grand mane.\Legendary Pokémon\155\1.9\0,148,0
Scale|1.36
Move|1,44
Move|1,46
Move|1,316
Move|1,422
Move|1,424
Move|34,245
Item|100,2003
TradeValue|50
