Name|Tyrantrum
Number|697
ExperienceType|1
BaseExperience|188
Type1|Rock
Type2|Dragon
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|7680
EggPokemon|696
IsGenderLess|0
CanBreed|1
Devolution|696
IsMale|87.5
Ability1|173
Ability2|Nothing
HiddenAbility|69
EggMoves|174,349,422,423,424,305
Machines|174,46,92,249,237,241,173,63,182,203,218,231,225,89,216,91,189,104,207,214,201,197,156,213,210,25,34,36,38,68,99,82,90,102,117,130,157,164,337,280,317,332,363,290,416,397,444,446,445,399,363,468,496,523,525,526,590,70,431,560
TutorMoves|434
BaseHP|82
BaseAttack|121
BaseDefense|119
BaseSpAttack|69
BaseSpDefense|59
BaseSpeed|71
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Thanks to its gargantuan jaws, which could shred thick metal plates as if they were paper, it was invincible in the ancient world it once inhabited.\Despot Pokémon\270.0\2.5\0,148,0
Scale|1
Move|1,457
Move|1,39
Move|1,33
Move|6,46
Move|10,23
Move|12,117
Move|15,446
Move|17,44
Move|20,204
Move|26,246
Move|30,525
Move|34,242
Move|37,337
Move|42,37
Move|47,89
Move|53,32
Move|58,457
Move|68,157
Move|75,416
TradeValue|65
