Name|Tentacool
Number|72
ExperienceType|3
BaseExperience|67
Type1|Water
Type2|Poison
CatchRate|190
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|5355
EggPokemon|72
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|29
Ability2|64
HiddenAbility|44
EggMoves|367,62,392,145,109,114,282,243,330,229,321,219
Machines|174,92,237,173,59,63,196,182,240,202,203,218,216,104,207,214,188,197,156,213,168,14,36,61,55,58,99,72,102,117,130,164,352,258,219,263,290,362,371,416,445,363,398,474,482,496,503,611,605,590,15,57,250,127,291
BaseHP|40
BaseAttack|40
BaseDefense|35
BaseSpAttack|50
BaseSpDefense|100
BaseSpeed|70
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|1
FPSpeed|0
CanFly|0
CanSwim|1
Pokedex|When the tide goes out TENTACOOL remains can be found washed up on the shore.\Jellyfish Pokémon\45.5\0.9\0,148,0
Scale|0.96
Move|1,40
Move|5,48
Move|8,132
Move|12,51
Move|15,390
Move|19,61
Move|22,35
Move|26,491
Move|29,112
Move|33,352
Move|36,398
Move|40,103
Move|43,506
Move|47,56
Move|50,482
Move|54,378
TradeValue|5
Item|5,81
EvolutionCondition|73,Level,30,Level
