Name|Sharpedo
Number|319
ExperienceType|3
BaseExperience|161
Type1|Water
Type2|Dark
CatchRate|60
BaseFriendship|35
EggGroup1|Water2
EggGroup2|None
BaseEggSteps|5355
EggPokemon|318
IsGenderLess|0
CanBreed|1
Devolution|318
IsMale|50
Ability1|24
Ability2|Nothing
HiddenAbility|3
EggMoves|246,362,194,56,129,37,38
Machines|174,46,92,249,237,173,59,63,196,182,240,203,218,89,216,189,104,207,214,129,197,156,213,168,210,36,38,61,55,58,99,102,117,130,164,352,258,269,317,259,263,290,362,371,416,419,445,399,363,398,496,503,514,523,555,590,57,70,250,127,291
BaseHP|70
BaseAttack|120
BaseDefense|40
BaseSpAttack|95
BaseSpDefense|40
BaseSpeed|95
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It can swim at speeds of 75 mph by jetting seawater through its body. It is the bandit of the sea.\Brutal Pokémon\88.8\1.8\0,148,0
Scale|1.32
Move|1,400
Move|1,364
Move|1,43
Move|1,44
Move|1,99
Move|1,116
Move|6,99
Move|8,116
Move|11,184
Move|16,423
Move|18,103
Move|21,207
Move|26,372
Move|28,242
Move|30,163
Move|34,453
Move|40,269
Move|45,97
Move|50,130
Move|56,400
TradeValue|50
Item|167,5
