Name|Spheal
Number|363
ExperienceType|2
BaseExperience|58
Type1|Ice
Type2|Water
CatchRate|255
BaseFriendship|70
EggGroup1|Water1
EggGroup2|Field
BaseEggSteps|5355
EggPokemon|363
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|47
Ability2|115
HiddenAbility|12
EggMoves|392,187,174,90,205,324,214,255,254,256,352,346,281,157
Machines|174,205,92,249,237,173,59,63,196,182,240,203,218,231,89,216,189,104,207,214,111,197,156,213,34,36,61,55,58,99,102,117,130,157,164,352,258,317,263,290,362,416,445,363,496,497,524,590,57,70,250,127,291
BaseHP|70
BaseAttack|40
BaseDefense|50
BaseSpAttack|55
BaseSpDefense|50
BaseSpeed|25
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It crosses the oceans by rolling itself on drifting ice. Fluffy fur keeps it warm when the temperature is below freezing.\Clap Pokémon\39.5\0.8\0,148,0
Scale|0.92
Move|1,111
Move|1,181
Move|1,45
Move|1,55
Move|7,227
Move|13,301
Move|19,34
Move|25,62
Move|31,258
Move|37,156
Move|37,173
Move|43,59
Move|49,329
TradeValue|35
EvolutionCondition|364,level,32,level
