Name|Dugtrio
Number|51
ExperienceType|1
BaseExperience|142
Type1|Ground
Type2|
CatchRate|50
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|50
IsGenderLess|0
IsMale|50
Ability1|8
Ability2|71
HiddenAbility|159
EggMoves|246,310,251,203,185,515,29,262,426,228,179,103,253,157
Machines|174,92,249,237,241,173,63,182,203,218,89,216,91,189,104,207,214,188,201,197,156,213,168,34,36,99,90,102,117,157,164,317,332,263,290,421,416,444,446,445,363,468,482,496,497,523,590,15
BaseHP|35
BaseAttack|80
BaseDefense|50
BaseSpAttack|50
BaseSpDefense|70
BaseSpeed|120
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|Its three heads bob separately up and down to loosen the soil nearby, making it easier for it to burrow.\Mole Pokémon\33.3\0.7\0,148,0
Scale|0.88
Move|1,10
Move|1,28
Move|1,45
Move|1,161
Move|1,400
Move|1,563
Move|4,45
Move|7,310
Move|12,189
Move|15,222
Move|18,523
Move|23,389
Move|26,328
Move|28,426
Move|33,414
Move|40,91
Move|45,163
Move|50,89
Move|57,90
Item|5,76
TradeValue|25
