Name|Tyrunt
Number|696
ExperienceType|1
BaseExperience|78
Type1|Rock
Type2|Dragon
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Dragon
BaseEggSteps|7680
EggPokemon|696
Devolution|0
IsGenderLess|0
IsMale|87.5
Ability1|173
Ability2|Nothing
HiddenAbility|5
Machines|174,46,92,249,237,241,173,63,182,203,218,225,89,216,91,189,104,207,214,201,197,156,213,168,210,34,36,99,82,102,117,130,157,164,337,280,317,332,363,290,416,397,444,446,445,399,363,468,496,523,525,526,590,70
EggMoves|174,349,422,423,424,305
TutorMoves|434
BaseHP|58
BaseAttack|89
BaseDefense|77
BaseSpAttack|45
BaseSpDefense|45
BaseSpeed|48
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|This Pokemon was restored from a fossil. If something happens that it doesn't like, it throws a tantrum and runs wild.\Royal Heir Pokémon\26.0\0.8\0,148,0
Scale|1
Move|1,39
Move|1,33
Move|6,46
Move|10,23
Move|12,117
Move|15,446
Move|17,44
Move|20,204
Move|26,246
Move|30,525
Move|34,242
Move|37,337
Move|40,37
Move|44,89
Move|49,32
TradeValue|45
EvolutionCondition|697,daytime,1;2,level
EvolutionCondition|697,Level,39,Level
