Name|Mega Diancie
Number|719
ExperienceType|3
BaseExperience|270
Type1|Rock
Type2|Fairy
CatchRate|3
BaseFriendship|70
EggGroup1|None
EggGroup2|None
BaseEggSteps|6630
EggPokemon|719
IsGenderLess|1
CanBreed|0
Devolution|0
IsMale|0
Ability1|156
Ability2|Nothing
HiddenAbility|Nothing
Machines|
473,347,92,258,237,241,63,113,182,219,218,479,216,94,104,115,201,317,263,156,496,153,416,397,148,444,360,244,157,207,214,164,433,290,267,605,590,495,343,414,283,356,215,270,334,387,393,285,173,446,472
BaseHP|50
BaseAttack|160
BaseDefense|110
BaseSpAttack|160
BaseSpDefense|110
BaseSpeed|110
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|2
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|A sudden transformation of Carbink, its pink, glimmering body is said to be the loveliest sight in the whole world. \Jewel Pokémon\19.4\0.7\0,148,0
Scale|1.2
Move|1,33
Move|1,106
Move|5,88
Move|8,159
Move|12,479
Move|18,115
Move|21,446
Move|27,470
Move|31,246
Move|40,285
Move|46,433
Move|49,444
Move|50,585
Move|50,591
Move|60,113
Move|70,219
TradeValue|120
