Name|Graveler
Number|75
ExperienceType|2
BaseExperience|137
Type1|Rock
Type2|Ground
CatchRate|120
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|4080
EggPokemon|74
IsGenderLess|0
CanBreed|1
Devolution|74
IsMale|50
Ability1|69
Ability2|5
HiddenAbility|8
EggMoves|475,335,174,203,175,264,359,5,431,469,157
Machines|223,29,174,205,92,249,237,241,173,63,182,203,218,89,216,91,189,104,207,214,201,126,111,197,156,213,7,5,34,36,38,66,68,69,99,90,102,117,118,120,153,157,164,264,280,53,317,263,290,374,416,397,444,360,446,445,363,479,496,510,523,267,612,590,70,431,560
BaseHP|55
BaseAttack|95
BaseDefense|115
BaseSpAttack|45
BaseSpDefense|45
BaseSpeed|35
FPHP|0
FPAttack|0
FPDefense|2
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|With a free and uncaring nature it doesn't mind if pieces break off while it rolls down mountains.\Rock Pokémon\105\1\0,148,0
Scale|1
Move|1,33
Move|1,111
Move|1,300
Move|1,397
Move|4,300
Move|8,397
Move|11,205
Move|15,222
Move|18,88
Move|22,350
Move|27,479
Move|31,120
Move|36,523
Move|42,446
Move|47,89
Move|53,153
Move|58,38
Move|64,444
TradeValue|25
Item|5,112
EvolutionCondition|76,trade,0,trade
