Name|Starmie
Number|121
ExperienceType|3
BaseExperience|182
Type1|Water
Type2|Psychic
CatchRate|60
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|5355
EggPokemon|120
IsGenderLess|1
CanBreed|1
Devolution|120
IsMale|0.0
Ability1|35
Ability2|30
HiddenAbility|148
Machines|174,92,192,244,237,173,63,196,182,240,203,218,87,216,94,104,207,214,129,138,197,156,213,171,36,38,61,55,58,99,85,100,102,115,117,130,86,149,161,164,352,258,113,263,290,285,362,278,416,360,445,363,447,430,433,473,496,503,605,590,57,148,250,127,291
BaseHP|60
BaseAttack|75
BaseDefense|85
BaseSpAttack|100
BaseSpDefense|85
BaseSpeed|115
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|The middle section of its body is called the core. It glows in a different color each time it is seen.\Mysterious Pokémon\80\1.1\0,148,0
Scale|1.04
Move|1,55
Move|1,229
Move|1,105
Move|1,129
Move|22,109
TradeValue|40
Item|5,132
Item|50,131
