Name|Magikarp
Number|129
ExperienceType|3
BaseExperience|40
Type1|Water
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Water2
EggGroup2|Dragon
BaseEggSteps|1530
EggPokemon|129
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|33
Ability2|Nothing
HiddenAbility|155
Machines|
BaseHP|20
BaseAttack|10
BaseDefense|55
BaseSpAttack|15
BaseSpDefense|20
BaseSpeed|80
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|1
Pokedex|An underpowered, pathetic Pokémon. It may jump high on rare occasions, but usually not more than seven feet.\Fish Pokémon\10\0.9\0,148,0
Scale|0.96
Move|1,150
Move|15,33
Move|30,175
TradeValue|5
EvolutionCondition|130,Level,20,Level
