Name|Jolteon
Number|135
ExperienceType|1
BaseExperience|184
Type1|Electric
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|9180
EggPokemon|133
IsGenderLess|0
CanBreed|1
Devolution|133
IsMale|87.5
Ability1|10
Ability2|10
HiddenAbility|95
EggMoves|445,204,343,174,197,203,313,175,363,500,485,321,273,281
Machines|29,174,46,92,192,249,237,241,173,63,182,240,203,218,231,87,216,91,247,189,104,207,214,129,197,156,213,25,34,36,38,99,85,102,117,130,86,164,113,351,263,290,451,416,445,363,496,497,514,521,526,528,590,70,148,560
BaseHP|65
BaseAttack|65
BaseDefense|60
BaseSpAttack|110
BaseSpDefense|95
BaseSpeed|130
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|2
CanFly|0
CanSwim|0
Pokedex|It concentrates the weak electric charges emitted by its cells and launches wicked lightning bolts.\Lightning Pokémon\24.5\0.8\0,148,0
Scale|0.92
Move|1,270
Move|1,33
Move|1,39
Move|5,28
Move|9,84
Move|13,98
Move|17,24
Move|20,422
Move|25,42
Move|29,97
Move|33,86
Move|37,435
Move|41,387
Move|45,87
TradeValue|50
