Name|Dunsparce
Number|206
ExperienceType|1
BaseExperience|145
Type1|Normal
Type2|
CatchRate|190
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|206
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|32
Ability2|50
HiddenAbility|155
EggMoves|97,246,310,44,117,174,29,506,277,290,214,173,376,157
Machines|29,174,205,92,192,249,244,237,241,173,59,63,182,240,203,218,76,231,87,89,216,91,247,189,104,207,214,126,111,138,197,156,213,168,171,32,34,36,38,61,55,58,68,99,85,90,102,117,86,149,157,164,352,347,351,53,317,263,290,355,451,416,360,446,445,363,398,496,510,514,523,528,590,70
BaseHP|100
BaseAttack|70
BaseDefense|70
BaseSpAttack|65
BaseSpDefense|65
BaseSpeed|45
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|When spotted backward by furiously boring into the ground with its tail.\Land Snake Pokémon\14\1.5\0,148,0
Scale|1.2
Move|1,99
Move|1,111
Move|4,205
Move|7,180
Move|10,228
Move|13,103
Move|16,281
Move|19,246
Move|22,36
Move|25,355
Move|28,137
Move|31,91
Move|34,38
Move|37,489
Move|40,203
Move|43,529
Move|46,283
Move|49,175
TradeValue|35
