Name|Teddiursa
Number|216
ExperienceType|1
BaseExperience|66
Type1|Normal
Type2|
CatchRate|120
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|216
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|53
Ability2|95
HiddenAbility|118
EggMoves|187,498,370,68,238,242,38,313,232,400,583,69,214,36,281,116
Machines|223,29,174,205,46,92,192,249,237,241,173,63,182,240,203,218,89,216,91,189,104,8,207,214,129,111,9,197,156,213,168,7,210,5,14,25,34,36,66,68,69,99,102,117,118,130,157,164,264,339,269,280,317,332,259,263,290,374,421,371,416,445,363,468,496,514,523,526,612,590,15,70
BaseHP|60
BaseAttack|80
BaseDefense|50
BaseSpAttack|50
BaseSpDefense|50
BaseSpeed|40
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If it finds honey, its crescent mark glows. It always licks its paws because they are soaked with honey.\Little Bear Pokémon\8.8\0.6\0,148,0
Scale|0.84
Move|1,374
Move|1,343
Move|1,10
Move|1,608
Move|1,122
Move|1,313
Move|8,154
Move|15,185
Move|22,230
Move|25,589
Move|29,163
Move|36,204
Move|43,156
Move|43,173
Move|50,37
Move|57,374
TradeValue|15
EvolutionCondition|217,Level,30,Level
