Name|Houndoom
Number|229
ExperienceType|3
BaseExperience|175
Type1|Dark
Type2|Fire
CatchRate|45
BaseFriendship|35
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|228
IsGenderLess|0
CanBreed|1
Devolution|228
IsMale|50
Ability1|48
Ability2|18
HiddenAbility|127
EggMoves|251,68,194,364,424,83,417,386,228,99,179,180,389,422,261
Machines|29,174,46,92,249,237,241,173,63,182,203,218,76,231,216,247,189,104,207,214,188,126,129,138,197,156,213,168,171,25,32,34,36,38,68,99,82,102,117,130,164,269,53,259,263,290,289,315,261,373,371,416,445,399,363,488,496,510,514,555,590,70,560
BaseHP|75
BaseAttack|90
BaseDefense|50
BaseSpAttack|110
BaseSpDefense|80
BaseSpeed|95
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|2
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|If you are burned by the flames it shoots from its mouth, the pain will never go away.\Dark Pokémon\35\1.4\0,148,0
Scale|1.16
Move|1,517
Move|1,417
Move|1,422
Move|1,43
Move|1,52
Move|1,336
Move|1,123
Move|4,336
Move|8,123
Move|13,46
Move|16,44
Move|20,316
Move|26,251
Move|30,424
Move|35,185
Move|41,373
Move|45,492
Move|50,53
Move|56,242
Move|60,417
Move|65,517
TradeValue|30
