Name|Tyranitar
Number|248
ExperienceType|3
BaseExperience|270
Type1|Rock
Type2|Dark
CatchRate|45
BaseFriendship|35
EggGroup1|Monster
EggGroup2|None
BaseEggSteps|10455
EggPokemon|246
IsGenderLess|0
CanBreed|1
Devolution|247
IsMale|50
Ability1|45
Ability2|Nothing
HiddenAbility|127
EggMoves|246,372,174,349,116,334,442,231,200,228,446,23
Machines|223,29,174,46,92,249,237,241,173,59,63,182,203,218,231,225,87,89,216,91,189,104,8,207,214,201,126,9,197,156,213,7,210,171,5,25,34,36,38,58,66,68,69,99,85,90,102,117,130,86,157,164,264,337,352,269,280,351,53,317,332,259,263,290,411,374,406,421,371,416,397,444,419,446,445,399,363,468,479,496,510,514,523,525,555,612,590,15,57,70,250,431,560
BaseHP|100
BaseAttack|134
BaseDefense|110
BaseSpAttack|95
BaseSpDefense|100
BaseSpeed|61
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its body can't be harmed by any sort of attack, so it is very eager to make challenges against enemies.\Armor Pokémon\202\2\0,148,0
Scale|1.4
Move|1,422
Move|1,423
Move|1,424
Move|1,44
Move|1,43
Move|1,201
Move|1,103
Move|5,201
Move|10,103
Move|14,498
Move|19,157
Move|23,184
Move|28,37
Move|34,399
Move|41,371
Move|47,242
Move|54,89
Move|63,444
Move|73,63
Move|82,416
TradeValue|75
