Name|Wurmple
Number|265
ExperienceType|1
BaseExperience|39
Type1|Bug
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|265
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|19
Ability2|Nothing
HiddenAbility|50
Machines|
BaseHP|45
BaseAttack|45
BaseDefense|35
BaseSpAttack|20
BaseSpDefense|30
BaseSpeed|20
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It lives among the tall grass and in forests. It repels attacks by  raising up the spikes on its rear.\Worm Pokémon\3.6\0.3\0,148,0
Scale|0.7
Move|1,33
Move|1,81
Move|5,40
Move|15,450
TradeValue|5
EvolutionCondition|266,Level,7,Level
EvolutionCondition|268,Level,7,Level
