Name|Taillow
Number|276
ExperienceType|2
BaseExperience|54
Type1|Normal
Type2|Flying
CatchRate|200
BaseFriendship|70
EggGroup1|Flying
EggGroup2|None
BaseEggSteps|4080
EggPokemon|276
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|62
Ability2|Nothing
HiddenAbility|113
EggMoves|586,413,432,119,228,99,287,355,143,211,48,18
Machines|174,92,237,241,173,63,182,203,218,216,189,104,207,214,129,197,156,213,168,211,13,18,36,99,102,117,143,164,332,263,290,355,416,432,445,363,365,369,496,497,526,590,19
BaseHP|40
BaseAttack|55
BaseDefense|30
BaseSpAttack|30
BaseSpDefense|30
BaseSpeed|85
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|1
CanFly|0
CanSwim|0
Pokedex|When it gets cold flying over 180 miles a day. It hunts for tasty prey.\TinySwallow Pokémon\2.3\0.3\0,148,0
Scale|0.7
Move|1,64
Move|1,45
Move|4,116
Move|7,98
Move|13,17
Move|19,104
Move|26,283
Move|34,332
Move|43,97
Move|53,403
TradeValue|15
Item|5,2046
EvolutionCondition|277,Level,22,Level
