Name|Ralts
Number|280
ExperienceType|3
BaseExperience|40
Type1|Psychic
Type2|Fairy
CatchRate|235
BaseFriendship|35
EggGroup1|Amorphous
EggGroup2|None
BaseEggSteps|5355
EggPokemon|280
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|28
Ability2|36
HiddenAbility|140
EggMoves|502,109,194,50,227,288,212,262,581,425,285,485,261
Machines|174,92,244,237,241,230,173,63,196,182,240,203,218,216,94,247,189,104,8,207,214,129,111,9,138,197,156,213,168,7,171,34,36,99,85,100,102,115,117,118,86,149,164,347,269,113,219,351,259,263,290,285,289,374,451,261,278,416,445,363,447,433,473,477,496,497,502,605,590,148
BaseHP|28
BaseAttack|25
BaseDefense|25
BaseSpAttack|45
BaseSpDefense|35
BaseSpeed|40
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The horns on its head provide a strong power that enables it to sense people's emotions.\Feeling Pokémon\6.6\0.4\0,148,0
Scale|0.7
Move|1,45
Move|6,93
Move|10,104
Move|12,100
Move|17,381
Move|21,345
Move|23,505
Move|28,347
Move|32,94
Move|34,286
Move|39,248
Move|43,204
Move|45,95
Move|50,138
Move|54,500
TradeValue|15
EvolutionCondition|281,level,20,level
