Name|Azurill
Number|298
ExperienceType|0
BaseExperience|38
Type1|Normal
Type2|Fairy
CatchRate|150
BaseFriendship|70
EggGroup1|None
EggGroup2|None
BaseEggSteps|2805
EggPokemon|298
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|25
Ability1|47
Ability2|37
HiddenAbility|157
EggMoves|133,453,187,34,293,383,227,313,248,330,195,217,287,47,21,487,276,48,321,346,113,164,193
Machines|174,205,92,237,173,59,63,196,182,240,203,218,231,216,189,104,207,214,129,111,197,156,213,34,36,61,55,58,99,102,117,164,352,258,113,263,290,416,445,363,496,503,526,590,57,250,127
BaseHP|50
BaseAttack|20
BaseDefense|40
BaseSpAttack|20
BaseSpDefense|40
BaseSpeed|20
FPHP|1
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its tail is packed full of the nutrients it needs to grow.\Polka Dot Pokémon\2\0.2\0,148,0
Scale|0.7
Move|1,150
Move|1,55
Move|2,39
Move|5,346
Move|7,145
Move|10,204
Move|13,61
Move|16,270
Move|20,21
Move|23,340
TradeValue|20
EvolutionCondition|183,friendship,220,level
