Name|Camerupt
Number|323
ExperienceType|1
BaseExperience|161
Type1|Fire
Type2|Ground
CatchRate|150
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|322
IsGenderLess|0
CanBreed|1
Devolution|322
IsMale|50
Ability1|40
Ability2|116
HiddenAbility|83
EggMoves|246,34,111,203,74,257,336,442,426,205,184,255,254,23,256,281
Machines|174,205,46,92,249,237,241,173,63,182,203,218,89,216,189,104,207,214,126,111,197,156,213,25,34,36,38,99,90,102,117,120,130,164,263,290,315,416,446,445,363,488,496,510,523,267,590,70,560
BaseHP|70
BaseAttack|100
BaseDefense|70
BaseSpAttack|105
BaseSpDefense|75
BaseSpeed|40
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|It lives in the crater of a volcano. It is well known that the humps on its back erupt every 10 years.\Eruption Pokémon\220\1.9\0,148,0
Scale|1.36
Move|1,90
Move|1,284
Move|1,45
Move|1,33
Move|1,52
Move|1,222
Move|5,52
Move|8,222
Move|12,116
Move|15,481
Move|19,133
Move|22,436
Move|26,414
Move|29,174
Move|31,36
Move|33,157
Move|39,281
Move|46,89
Move|52,284
Move|59,90
TradeValue|50
Item|100,2003
