Name|Anorith
Number|347
ExperienceType|1
BaseExperience|71
Type1|Rock
Type2|Bug
CatchRate|45
BaseFriendship|70
EggGroup1|Water3
EggGroup2|None
BaseEggSteps|7905
EggPokemon|347
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|4
Ability2|Nothing
HiddenAbility|33
EggMoves|453,440,174,334,282,103,352,229,157,14
Machines|174,92,249,237,241,173,63,182,203,218,89,216,91,189,104,207,214,197,156,213,210,34,36,99,72,102,117,164,352,263,290,206,416,446,445,363,468,479,496,522,590,15
BaseHP|45
BaseAttack|95
BaseDefense|50
BaseSpAttack|40
BaseSpDefense|50
BaseSpeed|75
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|An ancestral Pokémon that lived in the ocean. Over time, its eight feet transformed into wings.\Old Shrimp Pokémon\12.5\0.7\0,148,0
Scale|0.88
Move|1,10
Move|1,106
Move|7,300
Move|13,55
Move|19,232
Move|25,182
Move|31,246
Move|37,210
Move|43,163
Move|49,350
Move|55,306
Move|61,404
TradeValue|50
EvolutionCondition|348,Level,40,Level
