Name|Clefairy
Number|35
ExperienceType|0
BaseExperience|113
Type1|Fairy
Type2|
CatchRate|150
BaseFriendship|140
EggGroup1|Fairy
EggGroup2|None
BaseEggSteps|2805
EggPokemon|173
Devolution|173
IsGenderLess|0
IsMale|25
Ability1|56
Ability2|98
HiddenAbility|132
EggMoves|133,312,187,343,313,505,118,102,581,217,150,500,321,273,164
Machines|223,29,174,205,92,192,249,244,237,241,173,59,63,182,240,203,218,76,231,87,216,91,94,247,189,104,8,207,214,126,111,9,138,197,156,213,7,171,5,34,36,61,55,58,66,68,69,99,85,100,102,115,117,118,130,135,86,149,161,164,264,352,347,113,219,280,351,53,263,290,289,374,451,409,278,416,446,445,363,447,473,477,496,497,510,514,526,612,605,590,70,148
BaseHP|70
BaseAttack|45
BaseDefense|48
BaseSpAttack|60
BaseSpDefense|65
BaseSpeed|35
FPHP|2
FPAttack|0
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|The moonlight that it stores in the wings on its back apparently gives it the ability to float in midair.\Fairy Pokémon\7.5\0.6\0,148,0
Scale|0.84
Move|1,1
Move|1,45
Move|1,227
Move|1,361
Move|1,495
Move|1,574
Move|7,47
Move|10,3
Move|13,111
Move|16,266
Move|19,516
Move|22,358
Move|25,107
Move|28,500
Move|31,118
Move|34,322
Move|37,381
Move|40,34
Move|43,236
Move|46,585
Move|49,356
Move|50,309
Move|55,361
Move|58,495
EvolutionCondition|36,item,8,item
Item|1,149
Item|5,8
Item|50,2005
TradeValue|20
