Name|Torterra
Number|389
ExperienceType|2
BaseExperience|236
Type1|Grass
Type2|Ground
CatchRate|45
BaseFriendship|70
EggGroup1|Monster
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|387
IsGenderLess|0
CanBreed|1
Devolution|388
IsMale|87.5
Ability1|65
Ability2|Nothing
HiddenAbility|75
EggMoves|133,34,38,414,580,74,328,402,255,254,276,256,37,321,469,388
Machines|174,46,92,249,157,237,241,173,63,182,202,203,218,76,231,89,216,189,104,207,214,197,156,213,14,25,34,36,38,99,72,90,102,115,117,130,164,331,113,263,290,412,416,446,445,363,447,496,523,590,15,70,148,431,560
TutorMoves|338
BaseHP|95
BaseAttack|109
BaseDefense|105
BaseSpAttack|75
BaseSpDefense|85
BaseSpeed|56
FPHP|0
FPAttack|2
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Ancient people imagined that beneath the ground, a gigantic TORTERRA dwelled.\Continent Pokémon\310\2.2\0,148,0
Scale|1.48
Move|1,452
Move|1,33
Move|1,110
Move|1,71
Move|1,75
Move|5,110
Move|9,71
Move|13,75
Move|17,174
Move|22,44
Move|27,72
Move|32,89
Move|33,73
Move|39,235
Move|45,242
Move|51,202
Move|57,437
TradeValue|70
