Name|Kricketune
Number|402
ExperienceType|2
BaseExperience|134
Type1|Bug
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Bug
EggGroup2|None
BaseEggSteps|4080
EggPokemon|401
IsGenderLess|0
CanBreed|1
Devolution|402
IsMale|50
Ability1|68
Ability2|Nothing
HiddenAbility|101
Machines|174,92,249,237,241,173,63,182,203,218,216,189,104,207,214,197,156,213,210,36,99,72,102,117,118,164,263,290,206,318,416,445,363,468,496,522,611,612,590,15,70,148
BaseHP|77
BaseAttack|85
BaseDefense|51
BaseSpAttack|55
BaseSpDefense|51
BaseSpeed|65
FPHP|0
FPAttack|2
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|By allowing its cry to resonate in the hollow of its belly, it produces a captivating sound.\Cricket Pokémon\25.5\1.0\0,148,0
Scale|1.0
Move|1,45
Move|1,117
Move|10,210
Move|14,141
Move|18,47
Move|22,116
Move|26,163
Move|30,404
Move|34,103
Move|36,565
Move|38,269
Move|42,400
Move|44,564
Move|46,405
Move|50,195
TradeValue|40
