Name|Luxray
Number|405
ExperienceType|2
BaseExperience|235
Type1|Electric
Type2|
CatchRate|45
BaseFriendship|70
EggGroup1|Field
EggGroup2|None
BaseEggSteps|5355
EggPokemon|403
IsGenderLess|0
CanBreed|1
Devolution|404
IsMale|50
Ability1|79
Ability2|22
HiddenAbility|62
EggMoves|24,598,313,424,270,336,423,98,351,324,129,36,422,400
Machines|174,46,92,192,237,173,63,182,240,203,218,231,87,216,189,104,207,214,129,197,156,213,168,210,25,34,36,38,6,68,99,85,102,117,130,86,164,113,351,263,290,451,416,445,363,496,521,528,555,590,70,148,560
BaseHP|80
BaseAttack|120
BaseDefense|79
BaseSpAttack|95
BaseSpDefense|79
BaseSpeed|70
FPHP|0
FPAttack|3
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|LUXRAY's ability to see through objects comes in handy when it's scouting for danger.\Gleam Eyes Pokémon\42\1.4\0,148,0
Scale|1.16
Move|1,604
Move|1,33
Move|1,43
Move|1,268
Move|5,43
Move|9,268
Move|13,209
Move|18,44
Move|23,46
Move|28,207
Move|35,422
Move|42,242
Move|49,184
Move|56,435
Move|63,528
Move|67,604
TradeValue|50
