Name|Roserade
Number|407
ExperienceType|2
BaseExperience|227
Type1|Grass
Type2|Poison
CatchRate|75
BaseFriendship|70
EggGroup1|Fairy
EggGroup2|Grass
BaseEggSteps|5355
EggPokemon|406
IsGenderLess|0
CanBreed|1
Devolution|315
IsMale|50
Ability1|30
Ability2|38
HiddenAbility|101
EggMoves|331,178,326,202,320,437,170,363,42,75,402,79,191,235
Machines|174,92,244,237,241,230,173,63,182,202,203,218,76,216,247,189,104,207,214,188,129,197,156,213,210,171,14,34,36,99,72,102,117,164,331,263,290,412,416,445,363,398,447,474,496,267,605,590,15,148
BaseHP|60
BaseAttack|70
BaseDefense|65
BaseSpAttack|125
BaseSpDefense|105
BaseSpeed|90
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|3
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Its sweet aroma attracts prey. Then it spews poison. The more toxic it is, the sweeter its aroma.\Bouquet Pokémon\14.5\0.9\0,148,0
Scale|0.96
Move|1,599
Move|1,580
Move|1,311
Move|1,40
Move|1,72
Move|1,345
Move|1,230
TradeValue|45
Item|5,81
