Name|Bronzor
Number|436
ExperienceType|1
BaseExperience|60
Type1|Steel
Type2|Psychic
CatchRate|255
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|5355
EggPokemon|436
IsGenderLess|1
CanBreed|1
Devolution|0
IsMale|0.0
Ability1|26
Ability2|85
HiddenAbility|134
Machines|174,205,92,192,244,237,241,173,63,182,203,218,216,94,104,207,214,111,197,156,213,171,36,99,100,102,115,117,120,149,161,164,263,290,285,278,416,446,445,363,433,473,477,496,590,148
BaseHP|57
BaseAttack|24
BaseDefense|86
BaseSpAttack|24
BaseSpDefense|86
BaseSpeed|23
FPHP|0
FPAttack|0
FPDefense|1
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Ancient people believed that the pattern on BRONZOR's back contained a mysterious power.\Bronze Pokémon\60.5\0.5\0,148,0
Scale|0.7
Move|1,33
Move|1,93
Move|5,95
Move|9,286
Move|11,109
Move|15,149
Move|19,334
Move|21,185
Move|25,219
Move|29,248
Move|31,319
Move|35,360
Move|39,326
Move|41,371
Move|45,377
Move|49,484
TradeValue|35
Item|5,143
EvolutionCondition|437,Level,33,Level
