Name|Riolu
Number|447
ExperienceType|2
BaseExperience|57
Type1|Fighting
Type2|
CatchRate|75
BaseFriendship|70
EggGroup1|None
EggGroup2|None
BaseEggSteps|6630
EggPokemon|447
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|87.5
Ability1|80
Ability2|39
HiddenAbility|158
EggMoves|97,44,299,418,509,238,242,197,266,136,334,67,170,327,410
Machines|223,174,46,92,249,237,241,173,63,182,240,203,218,231,89,216,91,189,104,8,207,214,129,9,197,156,213,210,5,14,25,34,36,66,68,69,99,102,117,118,130,157,164,264,339,280,317,263,290,411,374,409,421,371,416,445,363,398,490,496,514,523,526,612,590,70
BaseHP|40
BaseAttack|70
BaseDefense|40
BaseSpAttack|35
BaseSpDefense|40
BaseSpeed|60
FPHP|0
FPAttack|1
FPDefense|0
FPSpAttack|0
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|They communicate with one another using their auras. They are able to run all through the night.\Emanation Pokémon\20.2\0.7\0,148,0
Scale|0.88
Move|1,193
Move|1,98
Move|1,203
Move|6,68
Move|11,364
Move|15,395
Move|19,383
Move|24,103
Move|29,179
Move|47,417
Move|50,515
TradeValue|25
EvolutionCondition|448,friendship,220,level
EvolutionCondition|448,daytime,1;2,level
