Name|Vanillite
Number|582
ExperienceType|3
BaseExperience|61
Type1|Ice
Type2|
CatchRate|255
BaseFriendship|70
EggGroup1|Mineral
EggGroup2|None
BaseEggSteps|5355
EggPokemon|582
IsGenderLess|0
CanBreed|1
Devolution|0
IsMale|50
Ability1|115
Ability2|Nothing
HiddenAbility|133
EggMoves|475,420,334,286,393,363,181,352
Machines|174,92,237,173,59,63,196,182,203,218,216,104,207,214,197,156,213,36,58,99,102,117,153,164,352,258,269,113,263,290,416,419,445,363,430,496,524,590
BaseHP|36
BaseAttack|50
BaseDefense|50
BaseSpAttack|65
BaseSpDefense|60
BaseSpeed|44
FPHP|0
FPAttack|0
FPDefense|0
FPSpAttack|1
FPSpDefense|0
FPSpeed|0
CanFly|0
CanSwim|0
Pokedex|Theoretically, this Pokémon formed from icicles bathed in energy from the morning sun. Their breath is -58 F.\Fresh Snow Pokémon\5.7\0.4\0,148,0
Scale|0.7
Move|1,333
Move|4,106
Move|7,310
Move|10,253
Move|13,196
Move|16,54
Move|19,419
Move|22,269
Move|26,429
Move|31,151
Move|35,58
Move|40,258
Move|44,243
Move|49,59
Move|53,329
TradeValue|30
EvolutionCondition|583,level,35,level
